INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../../cordic_src/cordic.cpp in debug mode
   Generating csim.exe
THETA	COS_OUT	COS_GOLD	COS_ERR
20	0.93985	0.93969	-0.00015
21	0.93373	0.93358	-0.00015
22	0.92734	0.92718	-0.00015
23	0.92066	0.92050	-0.00016
24	0.91370	0.91355	-0.00016
25	0.90646	0.90631	-0.00016
26	0.89893	0.89879	-0.00013
27	0.89114	0.89101	-0.00013
28	0.88308	0.88295	-0.00013
29	0.87475	0.87462	-0.00013
30	0.86616	0.86602	-0.00013
31	0.85730	0.85717	-0.00013
32	0.84818	0.84805	-0.00013
33	0.83879	0.83867	-0.00012
34	0.82916	0.82904	-0.00013
35	0.81927	0.81915	-0.00012
36	0.80914	0.80902	-0.00012
37	0.79876	0.79864	-0.00013
38	0.78813	0.78801	-0.00012
39	0.77727	0.77715	-0.00012
40	0.76617	0.76604	-0.00013
41	0.75483	0.75471	-0.00012
42	0.74327	0.74314	-0.00012
43	0.73147	0.73135	-0.00012
44	0.71947	0.71934	-0.00013
45	0.70721	0.70711	-0.00010
46	0.69476	0.69466	-0.00010
47	0.68211	0.68200	-0.00011
48	0.66924	0.66913	-0.00011
49	0.65616	0.65606	-0.00010
50	0.64289	0.64279	-0.00010
51	0.62943	0.62932	-0.00011
52	0.61576	0.61566	-0.00010
53	0.60192	0.60182	-0.00010
54	0.58789	0.58779	-0.00011
55	0.57368	0.57358	-0.00010
56	0.55929	0.55919	-0.00010
57	0.54474	0.54464	-0.00010
58	0.53002	0.52992	-0.00010
59	0.51513	0.51504	-0.00009
60	0.50009	0.50000	-0.00009
61	0.48490	0.48481	-0.00009
62	0.46957	0.46947	-0.00010
63	0.45409	0.45399	-0.00010
64	0.43847	0.43837	-0.00010
65	0.42266	0.42262	-0.00005
66	0.40678	0.40674	-0.00004
67	0.39077	0.39073	-0.00004
68	0.37464	0.37461	-0.00004
69	0.35841	0.35837	-0.00004
70	0.34206	0.34202	-0.00004
71	0.32560	0.32557	-0.00004
72	0.30907	0.30902	-0.00005
73	0.29242	0.29237	-0.00005
74	0.27568	0.27564	-0.00005
75	0.25887	0.25882	-0.00005
76	0.24197	0.24192	-0.00005
77	0.22500	0.22495	-0.00005
78	0.20796	0.20791	-0.00005
79	0.19086	0.19081	-0.00005
80	0.17370	0.17365	-0.00005
81	0.15648	0.15643	-0.00005
82	0.13922	0.13917	-0.00004
83	0.12186	0.12187	0.00001
84	0.10452	0.10453	0.00001
85	0.08714	0.08716	0.00001
86	0.06974	0.06976	0.00001
87	0.05232	0.05234	0.00002
88	0.03488	0.03490	0.00002
89	0.01749	0.01745	-0.00004
90	-0.00002	0.00000	0.00002
91	-0.01747	-0.01745	0.00002
92	-0.03492	-0.03490	0.00002
93	-0.05235	-0.05234	0.00001
94	-0.06977	-0.06976	0.00002
95	-0.08718	-0.08716	0.00002
96	-0.10455	-0.10453	0.00003
97	-0.12188	-0.12187	0.00001
98	-0.13919	-0.13917	0.00002
99	-0.15646	-0.15643	0.00002
100	-0.17163	-0.17365	-0.00202
101	-0.17163	-0.19081	-0.01918
102	-0.17163	-0.20791	-0.03628
103	-0.17163	-0.22495	-0.05332
104	-0.17163	-0.24192	-0.07029
105	-0.17163	-0.25882	-0.08719
106	-0.17163	-0.27564	-0.10401
107	-0.17163	-0.29237	-0.12074
108	-0.17163	-0.30902	-0.13739
109	-0.17163	-0.32557	-0.15394
INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
